City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Vaini,TO,68.16,few clouds,-21.2,-175.2,Keleti Beach Resort
1,Cape Town,ZA,65.88,scattered clouds,-33.93,18.42,Southern Sun Cape Sun
3,East London,ZA,67.14,clear sky,-33.02,27.91,Tu Casa
4,Port Alfred,ZA,66.33,clear sky,-33.59,26.89,The Halyards Hotel
6,Arraial Do Cabo,BR,76.96,clear sky,-22.97,-42.03,Pousada Porto Praia
8,Bredasdorp,ZA,69.12,overcast clouds,-34.53,20.04,Bredasdorp Country Manor
9,Cayenne,GF,86.04,broken clouds,4.93,-52.33,Hôtel Le Dronmi
12,Comodoro Rivadavia,AR,60.66,clear sky,-45.87,-67.5,Hotel Victoria
17,Jamestown,US,76.32,scattered clouds,42.1,-79.24,Hampton Inn & Suites Jamestown
18,Lincoln,US,84.88,clear sky,40.8,-96.67,Courtyard by Marriott Lincoln Downtown/Haymarket
19,Georgetown,MY,75.88,scattered clouds,5.41,100.34,Cititel Penang
20,Cabedelo,BR,83.07,broken clouds,-6.98,-34.83,Hotel Pigalle
21,Bethel,US,79.84,clear sky,41.37,-73.41,Courtyard by Marriott Danbury
22,Chuy,UY,63.34,clear sky,-33.7,-53.46,Nuevo Hotel Plaza
25,Bengkulu,ID,75.31,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
26,Atuona,PF,77.63,few clouds,-9.8,-139.03,Villa Enata
27,Puerto Ayora,EC,76.96,broken clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
29,Gigmoto,PH,81.18,overcast clouds,13.78,124.39,Cj's Travellers Inn
32,Ixtapa,MX,88.23,broken clouds,20.7,-105.2,Hotel Plaza Providencia
33,Monte Patria,CL,70.61,broken clouds,-30.69,-70.95,Hotel Monte Cordillera
35,Souillac,MU,70.18,scattered clouds,-20.52,57.52,Bils' Villa
36,Oussouye,SN,89.78,light rain,12.48,-16.55,Auberge du Routard
37,Castro,BR,74.19,scattered clouds,-24.79,-50.01,CHACARA BAILLY
38,San Patricio,US,89.49,few clouds,28.02,-97.52,"Motel 6 Sinton, TX"
39,Richards Bay,ZA,67.15,clear sky,-28.78,32.04,BON Hotel Waterfront Richards Bay
40,Busselton,AU,62.04,clear sky,-33.65,115.33,Observatory Guest House
41,Fortuna,US,60.37,overcast clouds,40.6,-124.16,Super 8 by Wyndham Fortuna
43,Bambous Virieux,MU,70.05,light rain,-20.34,57.76,Casa Tia Villa
47,Carnarvon,AU,66.27,clear sky,-24.87,113.63,Hospitality Carnarvon
51,Douglas,US,83.98,clear sky,41.3,-96.17,Hilton Garden Inn Omaha West
52,Rikitea,PF,74.57,clear sky,-23.12,-134.97,People ThankYou
54,Hilo,US,69.24,few clouds,19.73,-155.09,Hilo Hawaiian Hotel
56,Sambava,MG,70.66,few clouds,-14.27,50.17,Melrose
57,Mendoza,AR,63.93,clear sky,-32.89,-68.83,Hotel Mendoza
58,Hobyo,SO,77.58,overcast clouds,5.35,48.53,Halane Hotel and Restaurent
60,Lorengau,PG,80.46,heavy intensity rain,-2.02,147.27,Lorengau Harbourside Hotel
61,Samarai,PG,77.94,heavy intensity rain,-10.62,150.67,Nuli Sapi
62,Port Elizabeth,ZA,73.09,clear sky,-33.92,25.57,39 On Nile Guest House
64,Husavik,IS,60.71,scattered clouds,66.04,-17.34,Bjarnabúð
65,Dingle,PH,76.86,light rain,11.0,122.67,SEGAYA PROPERTY
69,Hermanus,ZA,61.9,overcast clouds,-34.42,19.23,Misty Waves Boutique Hotel
70,Kavieng,PG,80.92,overcast clouds,-2.57,150.8,Nusa Island Retreat
71,Kahului,US,70.86,clear sky,20.89,-156.47,Maui Seaside Hotel
72,Victoria,HK,84.33,clear sky,22.29,114.16,Mini Hotel Central
73,Avarua,CK,68.05,light rain,-21.21,-159.78,Paradise Inn
74,Katsuura,JP,71.71,heavy intensity rain,35.13,140.3,Katsuura Hotel Mikazuki
78,Hithadhoo,MV,82.4,broken clouds,-0.6,73.08,Scoop Guest House
79,Kieta,PG,77.05,overcast clouds,-6.22,155.63,Uruna Bay Retreat
81,Rocha,UY,66.29,clear sky,-34.48,-54.33,Beleza Pura B&B
83,Barranca,PE,66.27,overcast clouds,-10.75,-77.77,El Olivar Hospedaje
84,Darhan,MN,60.82,overcast clouds,49.49,105.92,Buudai Hotel
85,Butaritari,KI,83.71,broken clouds,3.07,172.79,Isles Sunset Lodge
86,Tottori,JP,72.1,overcast clouds,35.5,134.23,Hotel Monarque Tottori
88,Hasaki,JP,70.2,light rain,35.73,140.83,Hotel Sunrise Choshi
89,Dong Hoi,VN,80.74,overcast clouds,17.48,106.6,Nam Long Hotel
92,Ponta Delgada,PT,77.72,few clouds,37.73,-25.67,Vila Nova Hotel
93,Lompoc,US,75.56,mist,34.64,-120.46,"Holiday Inn Express Lompoc, an IHG Hotel"
94,Touros,BR,86.9,scattered clouds,-5.2,-35.46,INN NEW HORIZON
96,Ranong,TH,78.91,overcast clouds,9.97,98.63,Tinidee Hotel@Ranong
98,Nassau,US,82.65,clear sky,40.75,-73.58,Hilton Garden Inn Westbury
99,Ponta Do Sol,PT,88.43,clear sky,32.67,-17.1,Hotel do Campo
100,Mitsamiouli,KM,76.95,scattered clouds,-11.38,43.28,Foyer ADM
107,Sokol,RU,62.26,broken clouds,59.46,40.12,Salut Inn
109,Namatanai,PG,77.65,overcast clouds,-3.67,152.43,Seagulls Inn Namatani
110,Pottsville,US,80.17,overcast clouds,40.69,-76.2,Ramada by Wyndham Pottsville/Frackville
111,Port Blair,IN,80.64,mist,11.67,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
112,Aljezur,PT,76.1,clear sky,37.32,-8.8,Amazigh Hostel
113,Guerrero Negro,MX,77.97,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
115,Faanui,PF,78.89,scattered clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
118,Ribeira Grande,PT,77.4,scattered clouds,38.52,-28.7,Quinta da Meia Eira
120,Itoman,JP,82.42,scattered clouds,26.12,127.67,Southern Beach Hotel & Resort Okinawa
121,Rawson,AR,68.04,broken clouds,-43.3,-65.1,Hosteria Sampedro
122,Kabwe,ZM,67.05,clear sky,-14.45,28.45,Tuskers
123,Altay,CN,64.74,overcast clouds,47.87,88.12,Jinqiao Hotel
124,Torbay,CA,77.29,few clouds,47.67,-52.73,Gallows Cove
126,Banjarmasin,ID,77.14,overcast clouds,-3.32,114.59,Swiss-Belhotel Borneo Banjarmasin
127,Alofi,NU,67.89,light rain,-19.06,-169.92,Taloa Heights
130,Tabou,CI,79.61,few clouds,4.42,-7.35,hotêl doufoulougou
133,Ormara,PK,79.7,clear sky,25.21,64.64,Crystal Beach and Camping Resort Ormara
134,Kerema,PG,76.1,overcast clouds,-7.96,145.78,Frena Lodge
135,Kapaa,US,77.32,light rain,22.08,-159.32,Sheraton Kauai Coconut Beach Resort
136,Itarema,BR,81.86,broken clouds,-2.92,-39.92,"Sea Lounge! Bar, Club & Restaurant"
139,Diego De Almagro,CL,77.58,clear sky,-26.37,-70.05,hotel luna del desierto
140,Mandalgovi,MN,70.11,broken clouds,45.76,106.27,В.Ганбат
141,Turbat,PK,82.22,clear sky,26.0,63.04,Mubashar Quarters
142,Menongue,AO,71.83,clear sky,-14.66,17.69,Ritz Lauca
144,Marica,BR,82.56,clear sky,-22.92,-42.82,Marica Hills
145,Dunkirk,FR,61.02,overcast clouds,51.05,2.37,All Suites Appart Hôtel Dunkerque
147,Iquitos,PE,86.04,broken clouds,-3.75,-73.25,Cortez Malaga Techy Caroly
