City_ID,City,Country,Lat,Lng,Min Temp,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,-23.12,-134.97,74.64,74.64,79,0,10.13,clear sky
1,Punta Arenas,CL,-53.15,-70.92,41.11,41.11,93,90,3.44,light rain
2,Mataura,NZ,-46.19,168.86,46.47,46.47,87,77,9.91,light rain
3,Saint-Georges,GD,12.06,-61.75,79.77,79.77,78,79,12.03,broken clouds
4,Manzil Salim,TN,35.86,8.48,74.64,74.64,52,0,2.21,clear sky
5,Wakkanai,JP,45.41,141.67,67.59,67.59,73,18,7.14,few clouds
6,Hermanus,ZA,-34.42,19.23,51.8,59.9,65,54,8.08,broken clouds
7,Great Falls,US,47.5,-111.3,73.85,80.69,28,90,13.8,overcast clouds
8,Ushuaia,AR,-54.8,-68.3,40.66,40.66,87,75,3.44,broken clouds
9,Pachino,IT,36.72,15.09,69.84,82.6,59,0,7.87,clear sky
10,Vaini,TO,-21.2,-175.2,69.96,69.96,78,20,9.22,few clouds
11,Thompson,CA,55.74,-97.86,56.86,56.86,81,100,3.4,overcast clouds
12,Monrovia,LR,6.3,-10.8,76.05,76.05,81,99,9.17,light rain
13,Kaitangata,NZ,-46.28,169.85,54.41,54.41,62,72,4.23,moderate rain
14,Aklavik,CA,68.22,-135.01,50.92,50.92,71,100,9.53,overcast clouds
15,Bluff,NZ,-46.6,168.33,46.8,46.8,87,100,17.18,moderate rain
16,Saldanha,ZA,-33.01,17.94,56.57,56.57,58,55,4.56,broken clouds
17,Geraldton,AU,-28.77,114.6,75.61,75.61,46,4,14.97,clear sky
18,Busselton,AU,-33.65,115.33,70.09,71.04,51,0,9.22,clear sky
19,Castro,BR,-24.79,-50.01,56.52,56.52,95,63,3.94,broken clouds
20,Teya,RU,60.38,92.63,57.18,57.18,97,100,5.7,light rain
21,Hervey Bay,AU,-25.3,152.85,75.31,75.31,66,12,8.95,few clouds
22,Corrales,US,35.24,-106.61,63.61,72.68,79,1,1.01,clear sky
23,Fort Nelson,CA,58.81,-122.7,49.77,49.77,95,100,17.74,moderate rain
24,Provideniya,RU,64.38,-173.3,44.71,44.71,81,90,6.71,overcast clouds
25,Sedalia,US,38.7,-93.23,64.85,68.32,83,1,5.75,clear sky
26,Lagoa,PT,39.05,-27.98,71.56,71.56,86,89,10.27,overcast clouds
27,Comodoro Rivadavia,AR,-45.87,-67.5,53.46,53.46,43,0,6.91,clear sky
